[WONDERFUL M@GIC!! Day1]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 赤﨑千夏, 五十嵐裕美, 上坂すみれ, 桜咲千依, 大坪由佳, 高森奈津美, 津田美波, 松嵜麗, 三宅麻理恵, 山本希望, 佳村はるか
5	エヴリデイドリーム	牧野由依
6	おねだり Shall We～？	高森奈津美
7	TOKIMEKIエスカレート	佳村はるか
8	Snow Wings	大橋彩香, 金子真由美, 千菅春香, 原優子, 村中知, 長島光那
9	Twilight Sky	青木瑠璃子
10	ショコラ・ティアラ	大坪由佳
11	ましゅまろ☆キッス	松嵜麗
12	小さな恋の密室事件	桜咲千依
13	Love∞Destiny	青木瑠璃子, 津田美波, 牧野由依
14	生存本能ヴァルキュリア	金子真由美, 千菅春香, 原優子, 村中知, 長島光那
15	ハイファイ☆デイズ	五十嵐裕美, 桜咲千依, 三宅麻理恵, 佳村はるか, 原優子
16	Tulip	五十嵐裕美, 大坪由佳, 高森奈津美, 三宅麻理恵, 佳村はるか
17	空と風と恋のワルツ	津田美波
18	メルヘンデビュー	三宅麻理恵
19	あんずのうた	五十嵐裕美
20	純情Midnight伝説	金子真由美, 千菅春香, 原優子, 村中知, 安野希世乃
21	Rockin' Emotion	金子真由美, 千菅春香, 原優子, 村中知, 安野希世乃
22	咲いてJewel	青木瑠璃子, 桜咲千依, 千菅春香, 村中知, 長島光那
23	きみにいっぱい☆	松嵜麗, 佳村はるか, 原優子
24	明日また会えるよね	大橋彩香, 五十嵐裕美, 大坪由佳, 高森奈津美, 津田美波, 牧野由依, 三宅麻理恵, 金子真由美
25	メッセージ	大橋彩香, 青木瑠璃子, 五十嵐裕美, 桜咲千依, 大坪由佳, 高森奈津美, 津田美波, 牧野由依, 松嵜麗, 三宅麻理恵, 佳村はるか
26	GOIN'!!!	ゲスト含む全員
27	BEYOND THE STARLIGHT	全員
28	お願い！シンデレラ	ゲスト含む全員
[TriCastle Story 神戸 Day2]
大橋彩香, 青木瑠璃子, 五十嵐裕美, 桜咲千依, 大坪由佳, 高森奈津美, 津田美波, 牧野由依, 松嵜麗, 三宅麻理恵, 佳村はるか, 今井麻夏, 黒沢ともよ, 春瀬なつみ, 松井恵理子, 松田颯水, 福原綾香, 原紗友里
1	とどけ！アイドル	全員
2	ゴキゲンParty Night	全員
3	S(mile)ING!	大橋彩香
4	Naked Romance	津田美波
5	エヴリデイドリーム	牧野由依
6	おねだり Shall We～？	高森奈津美
7	TOKIMEKIエスカレート	佳村はるか
8	毒茸伝説	松田颯水
9	Twilight Sky	青木瑠璃子
10	ショコラ・ティアラ	大坪由佳
11	ましゅまろ☆キッス	松嵜麗
12	小さな恋の密室事件	桜咲千依
13	Love∞Destiny	青木瑠璃子, 津田美波, 牧野由依
14	生存本能ヴァルキュリア	今井麻夏, 黒沢ともよ, 春瀬なつみ, 松井恵理子, 松田颯水
15	純情Midnight伝説	青木瑠璃子, 佳村はるか, 黒沢ともよ, 松井恵理子, 松田颯水
16	Tulip	五十嵐裕美, 大坪由佳, 高森奈津美, 三宅麻理恵, 佳村はるか
17	2nd SIDE	松井恵理子
18	メルヘンデビュー	三宅麻理恵
19	あんずのうた	五十嵐裕美
20	ハイファイ☆デイズ	今井麻夏, 黒沢ともよ, 春瀬なつみ
21	Snow Wings	大橋彩香, 福原綾香, 原紗友里
22	咲いてJewel	青木瑠璃子, 桜咲千依, 今井麻夏, 松井恵理子
23	きみにいっぱい☆	松嵜麗, 佳村はるか, 黒沢ともよ, 春瀬なつみ, 松田颯水
24	明日また会えるよね	大橋彩香, 五十嵐裕美, 大坪由佳, 高森奈津美, 津田美波, 牧野由依, 三宅麻理恵
25	メッセージ	大橋彩香, 青木瑠璃子, 五十嵐裕美, 桜咲千依, 大坪由佳, 高森奈津美, 津田美波, 牧野由依, 松嵜麗, 三宅麻理恵, 佳村はるか
26	GOIN'!!!	ゲスト含む全員
27	BEYOND THE STARLIGHT	ゲスト除く全員
28	Yes! Party time!!	ゲスト含む全員
29	お願い！シンデレラ	ゲスト含む全員
[TriCastle Story SSA Day1]
藍原ことみ, 青木志貴, 飯田友子, 今井麻夏, 桜咲千依, 金子真由美, 金子有希, 木村珠莉, 佐藤亜美菜, 下地紫野, 鈴木絵理, 髙野麻美, 立花理香, 種﨑敦美, 千菅春香, 長島光那, 原優子, 春瀬なつみ, 牧野由依, 村中知, 杜野まこ, 山下七海, ルゥ・ティン, 和氣あず未, 竹達彩奈, 久野美咲
1	BEYOND THE STARLIGHT	全員
2	Snow Wings	全員
3	Flip Flop	金子有希, 鈴木絵理, 杜野まこ, 山下七海, 和氣あず未
4	恋のHamburg♪	種﨑敦美
5	青の一番星	立花理香, ルゥ・ティン
6	共鳴世界の存在論	青木志貴
7	き・ま・ぐ・れ☆Cafe au lait!	鈴木絵理, 髙野麻美, 種﨑敦美
8	エヴリデイドリーム	下地紫野, 長島光那, 牧野由依
9	Bloody Festa	桜咲千依
10	お散歩カメラ	今井麻夏, 金子有希, 春瀬なつみ
11	lilac time	木村珠莉
12	明日また会えるよね	藍原ことみ, 金子真由美, 下地紫野, 髙野麻美, 立花理香, 種﨑敦美, 牧野由依
13	Radio Happy	山下七海
14	気持ちいいよね 一等賞！	杜野まこ
15	Can't Stop!!	和氣あず未
16	きみにいっぱい☆	金子有希, 木村珠莉, 鈴木絵理, 原優子, 春瀬なつみ, 杜野まこ, 山下七海, 和氣あず未
17	恋色エナジー	下地紫野
18	花簪 HANAKANZASHI	立花理香, 種﨑敦美, 牧野由依
19	秘密のトワレ	藍原ことみ
20	咲いてJewel	青木志貴, 飯田友子, 今井麻夏, 桜咲千依, 佐藤亜美菜, 千菅春香, 長島光那, 村中知, ルゥ・ティン
21	ミラクルテレパシー	鈴木絵理, 山下七海, 和氣あず未
22	To my darling…	竹達彩奈
23	Near to You	全員(竹達彩奈を含む)
24	Absolute NIne	藍原ことみ, 木村珠莉, 原優子, ルゥ・ティン
25	Hotel Moonside	青木志貴, 飯田友子, 千菅春香
26	in fact	佐藤亜美菜
27	あいくるしい	立花理香, 牧野由依
28	生存本能ヴァルキュリア	今井麻夏, 金子真由美, 金子有希, 木村珠莉, 佐藤亜美菜, 千菅春香, 長島光那, 原優子, 春瀬なつみ, 村中知
29	Lunatic Show	桜咲千依, 金子真由美, 村中知
30	Tulip	藍原ことみ, 飯田友子, 髙野麻美, ルゥ・ティン
31	純情Midnight伝説	金子真由美, 千菅春香, 原優子, 村中知
